127.0.0.1 - - [09/May/2022:18:18:01 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [09/May/2022:18:18:05 +0900] "GET /jspProject/basice/04_diary.jsp HTTP/1.1" 200 1913
0:0:0:0:0:0:0:1 - - [09/May/2022:18:18:05 +0900] "GET /jspProject/fff/f1.jpg HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [09/May/2022:18:18:21 +0900] "GET /jspProject/basice/04_diary.jsp HTTP/1.1" 200 1913
0:0:0:0:0:0:0:1 - - [09/May/2022:18:18:21 +0900] "GET /jspProject/fff/f1.jpg HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [09/May/2022:18:18:21 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/May/2022:18:20:31 +0900] "GET /jspProject/basice/04_diary.jsp HTTP/1.1" 200 1913
0:0:0:0:0:0:0:1 - - [09/May/2022:18:20:31 +0900] "GET /jspProject/fff/f1.jpg HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [09/May/2022:18:20:32 +0900] "GET /jspProject/basice/04_diary.jsp HTTP/1.1" 200 1913
0:0:0:0:0:0:0:1 - - [09/May/2022:18:20:32 +0900] "GET /jspProject/fff/f1.jpg HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [09/May/2022:18:26:35 +0900] "GET /jspProject/basice/04_diary.jsp HTTP/1.1" 200 1912
0:0:0:0:0:0:0:1 - - [09/May/2022:18:26:36 +0900] "GET /jspProject/fff/1.png HTTP/1.1" 200 39788
